Number, Confidence, Flow, Start Time, End Time, Answer Label, Classified Label, Classified Probability
1, 0.01870684390887618, 127.0.0.32:3306-127.0.0.1:6059, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
2, 0.029771980457007886, 127.0.0.32:3306-127.0.0.1:903, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
3, 0.04084336962550879, 127.0.0.32:3306-127.0.0.1:5666, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
4, 0.0518937062472105, 127.0.0.32:3306-127.0.0.1:2701, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
5, 0.06289155306294561, 127.0.0.32:3306-127.0.0.1:1149, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
6, 0.07376022906973959, 127.0.0.32:3306-127.0.0.1:2107, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
7, 0.08088827952742576, 127.0.0.32:3306-127.0.0.1:9163, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
8, 0.08215634003281594, 127.0.0.32:3306-127.0.0.1:301, 1674497392.5, 1674497393.5, 0, 1, 0.34767869506250015
9, 0.07083961591124535, 127.0.0.5:443-127.0.0.4:7448, 1674497392.5, 1674497393.5, 0, 0, 0.1748777189322144
10, 0.05962821990251541, 127.0.0.5:443-127.0.0.4:7446, 1674497392.5, 1674497393.5, 0, 0, 0.1750262840297976
11, 0.04963914342224598, 127.0.0.5:443-127.0.0.4:7438, 1674497392.5, 1674497393.5, 0, 0, 0.17487770452725793
12, 0.045359210669994356, 127.0.0.1:9020-127.0.0.2:9784, 1674497392.6, 1674497393.6, 0, 0, 0.17487770452710943
13, 0.04516619369387627, 127.0.0.32:3306-127.0.0.1:6001, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
14, 0.04505088422447443, 127.0.0.32:3306-127.0.0.1:0, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
15, 0.044156339392066, 127.0.0.32:3306-127.0.0.1:24, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
16, 0.039878745749592784, 127.0.0.32:3306-127.0.0.1:9010, 1674497392.6, 1674497393.6, 0, 0, 0.17886216716185613
17, 0.0404220849275589, 127.0.0.32:3306-127.0.0.1:7937, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
18, 0.04002534616738558, 127.0.0.32:3306-127.0.0.1:3918, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
19, 0.039745525829494, 127.0.0.4:7434-127.0.0.5:443, 1674497392.6, 1674497393.6, 0, 0, 0.17487770463672944
20, 0.03868071064352989, 127.0.0.5:443-127.0.0.4:7448, 1674497392.6, 1674497393.6, 0, 0, 0.17487771708777058
21, 0.03798855617642403, 127.0.0.5:443-127.0.0.4:7446, 1674497392.6, 1674497393.6, 0, 0, 0.17491696471376428
22, 0.036810011975467204, 127.0.0.5:443-127.0.0.4:7438, 1674497392.6, 1674497393.6, 0, 0, 0.17487770467144206
23, 0.036680768430233004, 127.0.0.32:3306-127.0.0.1:9176, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
24, 0.03549190368503332, 127.0.0.32:3306-127.0.0.1:1113, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
25, 0.02478458732366562, 127.0.0.32:3306-127.0.0.1:8000, 1674497392.6, 1674497393.6, 0, 0, 0.17886216716185613
26, 0.017920111678540705, 127.0.0.4:7434-127.0.0.5:443, 1674497392.6, 1674497393.6, 0, 0, 0.17487770832207236
27, 0.01843617521226406, 127.0.0.32:3306-127.0.0.1:82, 1674497392.6, 1674497393.6, 0, 1, 0.34767869506250015
28, 0.020951677951961754, 127.0.0.32:3306-127.0.0.1:2869, 1674497392.6, 1674497393.6, 0, 0, 0.17495797584262854
29, 0.022993726935237647, 127.0.0.5:443-127.0.0.4:7448, 1674497392.6, 1674497393.6, 0, 0, 0.17487771264422503
30, 0.02588745392858982, 127.0.0.5:443-127.0.0.4:7446, 1674497392.6, 1674497393.6, 0, 1, 0.4747424683550189
31, 0.018174823187291623, 127.0.0.1:9020-127.0.0.2:9784, 1674497392.7, 1674497393.7, 0, 0, 0.17487770452711054
32, 0.024389785528182984, 127.0.0.5:443-127.0.0.4:7448, 1674497392.7, 1674497393.7, 0, 0, 0.17487771122693624
33, 0.03276631738990545, 127.0.0.5:443-127.0.0.4:7446, 1674497392.7, 1674497393.7, 0, 1, 0.4485354682792536
34, 0.03207609672099352, 127.0.0.1:9020-127.0.0.2:9784, 1674497392.8, 1674497393.8, 0, 0, 0.1748777045271107
35, 0.027513128519058228, 127.0.0.1:9020-127.0.0.2:9784, 1674497392.8, 1674497393.8, 0, 0, 0.17487770452711085
36, 0.017433549650013445, 127.0.0.1:9020-127.0.0.2:9784, 1674497392.9, 1674497393.9, 0, 0, 0.17487770452711102
37, 0.014931050501763821, 127.0.0.1:1375-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.47474243614466966
38, 0.029716297518461943, 127.0.0.1:1376-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4747424286892424
39, 0.044450999982655046, 127.0.0.1:1377-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4747424112915219
40, 0.0548831282183528, 127.0.0.1:1378-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
41, 0.06409551315009594, 127.0.0.1:1379-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
42, 0.07336077708750963, 127.0.0.1:1380-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
43, 0.08268990674987435, 127.0.0.1:1381-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
44, 0.08751076348125934, 127.0.0.1:1382-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
45, 0.0871328666806221, 127.0.0.1:9020-127.0.0.2:9784, 1674497395.0, 1674497396.0, 0, 0, 0.17487770452712517
46, 0.08745909743010997, 127.0.0.1:1373-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.47474255275744653
47, 0.08218009509146214, 127.0.0.1:1374-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
48, 0.07684127688407898, 127.0.0.1:1375-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
49, 0.07205875441432, 127.0.0.1:1376-127.0.0.6:23, 1674497395.0, 1674497396.0, 1, 1, 0.4485354682792536
