flow_info: forward_iat_total, backward_iat_std, backward_iat_max, total_fhlen, total_bhlen, backward_iat_min, forward_iat_min, fpkts_per_second, flow_iat_min, forward_packet_length_mean, forward_iat_std, flow_iat_total, flow_syn, flow_fin, forward_iat_max, flow_iat_max, forward_packet_length_min, total_backward_packets, flow_iat_mean, flow_ece, flow_protocol, flow_iat_std, bpkts_per_second, backward_packet_length_mean, backward_iat_mean, total_length_of_forward_packets, flow_cwr, flow_packets_per_second, forward_iat_mean, flow_urg, total_length_of_backward_packets, flow_rst, total_forward_packets, forward_packet_length_max, flow_ack, forward_packet_length_std, backward_iat_total, backward_packet_length_max, flow_psh, backward_packet_length_std, backward_packet_length_min: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0.06814050674438477, 0.0, 0.00081634521484375, 135, 2241, 0.00048232078552246094, 2.8371810913085938e-05, 83.0, 2.8371810913085938e-05, 1454.0, 0.0, 0.07251429557800293, 0, 0, 0.0016140937805175781, 0.0016140937805175781, 1454, 5, 0.0, 0, 6, 0.0, 5.0, 66.0, 0.0, 120682, 0, 88.0, 0.0, 0, 330, 0, 83, 1454, 88, 0.0, 0.002313852310180664, 66, 0, 0.0, 66: 1: 1674497183.6, 1674497184.6: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.1/9020-127.0.0.2/9784: 3.579836845397949, 0.02, 0.041577816009521484, 135, 4428, 1.6689300537109375e-05, 2.4318695068359375e-05, 164.0, 2.4318695068359375e-05, 1454.0975609756097, 0.02, 3.626128911972046, 0, 0, 0.04360818862915039, 0.04360818862915039, 1454, 5, 0.02, 0, 6, 0.02, 5.0, 66.0, 0.01, 238472, 0, 169.0, 0.02, 0, 330, 0, 164, 1458, 169, 0.62, 0.041962385177612305, 66, 0, 0.0, 66: 2: 1674497183.6, 1674497184.6: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710946: 0.17487770452710946: 0.17487770452710946
127.0.0.1/9020-127.0.0.2/9784: 3.5758728981018066, 0.02, 0.041561126708984375, 108, 4401, 1.71661376953125e-05, 2.193450927734375e-05, 163.0, 2.193450927734375e-05, 1454.0981595092026, 0.02, 3.621201753616333, 0, 0, 0.04358386993408203, 0.04358386993408203, 1454, 4, 0.02, 0, 6, 0.02, 4.0, 66.0, 0.01, 237018, 0, 167.0, 0.02, 0, 264, 0, 163, 1458, 167, 0.62, 0.04189562797546387, 66, 0, 0.0, 66: 3: 1674497183.6, 1674497184.6: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710946: 0.17487770452710946: 0.17487770452710946
127.0.0.1/9020-127.0.0.2/9784: 10.413037061691284, 0.03, 0.08178186416625977, 486, 6615, 0.0003001689910888672, 1.811981201171875e-05, 245.0, 1.811981201171875e-05, 1454.0653061224489, 0.03, 11.695130348205566, 0, 0, 0.08324694633483887, 0.08324694633483887, 1454, 18, 0.04, 0, 6, 0.03, 18.0, 66.0, 0.07, 356246, 0, 263.0, 0.04, 0, 1188, 0, 245, 1458, 263, 0.51, 1.2667295932769775, 66, 0, 0.0, 66: 4: 1674497183.7, 1674497184.7: 0: 0: 0: 0: 0: 0: 0.47536688641867136: 0.17487770452710946: 0.17487770452710946: 0.1748777045271096
127.0.0.1/9020-127.0.0.2/9784: 10.408615827560425, 0.02, 0.0814816951751709, 459, 6588, 0.041243791580200195, 1.7404556274414062e-05, 244.0, 1.7404556274414062e-05, 1454.0655737704917, 0.03, 11.689547538757324, 0, 0, 0.08322882652282715, 0.08322882652282715, 1454, 17, 0.04, 0, 6, 0.03, 17.0, 66.0, 0.07, 354792, 0, 261.0, 0.04, 0, 1122, 0, 244, 1458, 261, 0.51, 1.2616267204284668, 66, 0, 0.0, 66: 5: 1674497183.7, 1674497184.7: 0: 0: 0: 0: 0: 0: 0.47536688641867136: 0.17487770452710946: 0.17487770452710946: 0.1748777045271096
127.0.0.1/9020-127.0.0.2/9784: 21.43755841255188, 0.02, 0.0866398811340332, 513, 8883, 0.03998160362243652, 1.9073486328125e-05, 329.0, 1.9073486328125e-05, 1446.4802431610942, 0.05, 23.102267742156982, 0, 0, 0.12912917137145996, 0.12912917137145996, 209, 19, 0.07, 0, 6, 0.05, 19.0, 66.0, 0.05, 475892, 0, 348.0, 0.07, 0, 1254, 0, 329, 1458, 348, 96.78, 0.8598318099975586, 66, 2, 0.0, 66: 6: 1674497183.7, 1674497184.7: 0: 0: 0: 0: 0: 0: 0.4753668662175068: 0.17487771645221895: 0.17487770771957625: 0.17487770961069796
127.0.0.1/9020-127.0.0.2/9784: 21.431302309036255, 0.02, 0.04665827751159668, 486, 8856, 1.621246337890625e-05, 1.8358230590820312e-05, 328.0, 1.8358230590820312e-05, 1446.4573170731708, 0.05, 23.053306341171265, 0, 0, 0.12911009788513184, 0.12911009788513184, 209, 18, 0.07, 0, 6, 0.05, 18.0, 66.0, 0.01, 474438, 0, 346.0, 0.07, 0, 1188, 0, 328, 1458, 346, 96.93, 0.14016294479370117, 66, 2, 0.0, 66: 7: 1674497183.7, 1674497184.7: 0: 0: 0: 0: 0: 0: 0.47536686102266484: 0.1748777193421273: 0.17487770854051599: 0.1748777110946918
127.0.0.1/9020-127.0.0.2/9784: 30.07843255996704, 0.06, 0.12480974197387695, 810, 9963, 1.5974044799804688e-05, 1.6450881958007812e-05, 369.0, 1.6450881958007812e-05, 1411.4742547425474, 0.06, 34.30045199394226, 0, 0, 0.20686817169189453, 0.20713210105895996, 96, 30, 0.09, 0, 6, 0.06, 30.0, 66.0, 0.06, 520834, 0, 399.0, 0.08, 0, 1980, 0, 369, 1458, 399, 231.06, 1.7523486614227295, 66, 15, 0.0, 66: 8: 1674497183.8, 1674497184.8: 0: 0: 0: 0: 0: 0: 0.475366885143718: 0.17487770532233932: 0.17487770473191866: 0.174877704802024
127.0.0.3/80-127.0.0.4/3167: 0.0413053035736084, -1, -1, 0, 1377, 99999, 6.508827209472656e-05, 51.0, 6.508827209472656e-05, 1417.5294117647059, 0.0, 0.0413053035736084, 0, 0, 0.0013580322265625, 0.0013580322265625, 66, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 72294, 0, 51.0, 0.0, 0, 0, 0, 51, 1514, 51, 251.98, 0, -1, 8, -1, -1: 9: 1674497183.8, 1674497184.8: 0: 0: 0: 0: 0: 0: 0.4753666033386418: 0.1748777492622544: 0.1748777492622544: 0.17487789813684934
127.0.0.8/5752-127.0.0.1/23: 0, -1, -1, 0, 24, 99999, 99999, 1.0, 99999, 54.0, 0.0, 0, 0, 0, -1, -1, 54, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 54, 0, 1.0, 0.0, 0, 0, 0, 1, 54, 1, 0.0, 0, -1, 0, -1, -1: 10: 1674497183.8, 1674497184.8: 0: 1: 0: 0: 0: 0: 0.1685463509672886: 0.21588590506893188: 0.4485354682792536: 0.1670322756845259
127.0.0.8/5753-127.0.0.1/23: 0, -1, -1, 0, 24, 99999, 99999, 1.0, 99999, 54.0, 0.0, 0, 0, 0, -1, -1, 54, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 54, 0, 1.0, 0.0, 0, 0, 0, 1, 54, 1, 0.0, 0, -1, 0, -1, -1: 11: 1674497183.8, 1674497184.8: 0: 1: 0: 0: 0: 0: 0.1685463509672886: 0.21588590506893188: 0.4485354682792536: 0.1670322756845259
127.0.0.1/9020-127.0.0.2/9784: 30.072378635406494, 0.06, 0.12479376792907715, 783, 9936, 1.5497207641601562e-05, 1.8835067749023438e-05, 368.0, 1.8835067749023438e-05, 1411.358695652174, 0.06, 34.21159863471985, 0, 0, 0.20685172080993652, 0.20711565017700195, 96, 29, 0.09, 0, 6, 0.06, 29.0, 66.0, 0.06, 519380, 0, 397.0, 0.08, 0, 1914, 0, 368, 1458, 397, 231.37, 1.7518854141235352, 66, 15, 0.0, 66: 12: 1674497183.8, 1674497184.8: 0: 0: 0: 0: 0: 0: 0.4753668849995267: 0.1748777054140222: 0.1748777047546445: 0.17487770483180665
127.0.0.3/80-127.0.0.4/3167: 0.03805088996887207, -1, -1, 0, 1350, 99999, 1.8358230590820312e-05, 50.0, 1.8358230590820312e-05, 1444.56, 0.0, 0.03805088996887207, 0, 0, 0.0012929439544677734, 0.0012929439544677734, 1018, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 72228, 0, 50.0, 0.0, 0, 0, 0, 50, 1514, 50, 165.83, 0, -1, 8, -1, -1: 13: 1674497183.8, 1674497184.8: 0: 0: 0: 0: 0: 0: 0.4753668864186716: 0.17487770452710943: 0.17487770452710943: 0.1748777045271095
127.0.0.1/9020-127.0.0.2/9784: 30.065466165542603, 0.06, 0.12477827072143555, 756, 9909, 1.5020370483398438e-05, 1.7404556274414062e-05, 367.0, 1.7404556274414062e-05, 1411.2425068119892, 0.06, 34.12183690071106, 0, 0, 0.2068328857421875, 0.20709681510925293, 96, 28, 0.09, 0, 6, 0.06, 28.0, 66.0, 0.06, 517926, 0, 395.0, 0.08, 0, 1848, 0, 367, 1458, 395, 231.67, 1.7514514923095703, 66, 15, 0.0, 66: 14: 1674497183.9, 1674497184.9: 0: 0: 0: 0: 0: 0: 0.4753668848426704: 0.17487770551372173: 0.17487770477936804: 0.17487770486423976
127.0.0.3/80-127.0.0.4/3167: 0.037151336669921875, -1, -1, 0, 1323, 99999, 1.5974044799804688e-05, 49.0, 1.5974044799804688e-05, 1443.142857142857, 0.0, 0.037151336669921875, 0, 0, 0.0012745857238769531, 0.0012745857238769531, 1018, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 70714, 0, 49.0, 0.0, 0, 0, 0, 49, 1514, 49, 167.21, 0, -1, 8, -1, -1: 15: 1674497183.9, 1674497184.9: 0: 0: 0: 0: 0: 0: 0.4753668864186716: 0.17487770452710943: 0.17487770452710943: 0.1748777045271095
