flow_info: forward_iat_total, backward_iat_std, backward_iat_max, total_fhlen, total_bhlen, backward_iat_min, forward_iat_min, fpkts_per_second, flow_iat_min, forward_packet_length_mean, forward_iat_std, flow_iat_total, flow_syn, flow_fin, forward_iat_max, flow_iat_max, forward_packet_length_min, total_backward_packets, flow_iat_mean, flow_ece, flow_protocol, flow_iat_std, bpkts_per_second, backward_packet_length_mean, backward_iat_mean, total_length_of_forward_packets, flow_cwr, flow_packets_per_second, forward_iat_mean, flow_urg, total_length_of_backward_packets, flow_rst, total_forward_packets, forward_packet_length_max, flow_ack, forward_packet_length_std, backward_iat_total, backward_packet_length_max, flow_psh, backward_packet_length_std, backward_packet_length_min: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0.07022905349731445, 0.0, 0.0008370876312255859, 135, 2241, 0.0004956722259521484, 2.8371810913085938e-05, 83.0, 2.8371810913085938e-05, 1454.0, 0.0, 0.07474470138549805, 0, 0, 0.001657247543334961, 0.001657247543334961, 1454, 5, 0.0, 0, 6, 0.0, 5.0, 66.0, 0.0, 120682, 0, 88.0, 0.0, 0, 330, 0, 83, 1454, 88, 0.0, 0.0023758411407470703, 66, 0, 0.0, 66: 1: 1674496523.2, 1674496524.2: 0: 0: 0: 0: 0: 0: 0.4753668864186697: 0.17487770452710977: 0.17487770452710977: 0.17487770452711085
127.0.0.1/9020-127.0.0.2/9784: 3.651824712753296, 0.02, 0.042372703552246094, 135, 4428, 1.6927719116210938e-05, 2.3365020751953125e-05, 164.0, 2.3365020751953125e-05, 1454.0975609756097, 0.02, 3.6990668773651123, 0, 0, 0.044466257095336914, 0.044466257095336914, 1454, 5, 0.02, 0, 6, 0.02, 5.0, 66.0, 0.01, 238472, 0, 169.0, 0.02, 0, 330, 0, 164, 1458, 169, 0.62, 0.04276585578918457, 66, 0, 0.0, 66: 2: 1674496523.2, 1674496524.2: 0: 0: 0: 0: 0: 0: 0.4753668864184485: 0.17487770452714474: 0.17487770452714474: 0.17487770452726215
127.0.0.1/9020-127.0.0.2/9784: 3.6480162143707275, 0.02, 0.04235577583312988, 108, 4401, 1.7881393432617188e-05, 2.2649765014648438e-05, 163.0, 2.2649765014648438e-05, 1454.0981595092026, 0.02, 3.6942696571350098, 0, 0, 0.04444289207458496, 0.04444289207458496, 1454, 4, 0.02, 0, 6, 0.02, 4.0, 66.0, 0.01, 237018, 0, 167.0, 0.02, 0, 264, 0, 163, 1458, 167, 0.62, 0.04269814491271973, 66, 0, 0.0, 66: 3: 1674496523.2, 1674496524.2: 0: 0: 0: 0: 0: 0: 0.47536688641847397: 0.1748777045271407: 0.1748777045271407: 0.17487770452724466
127.0.0.1/9020-127.0.0.2/9784: 10.666504859924316, 0.03, 0.08394598960876465, 486, 6615, 0.0003066062927246094, 1.9073486328125e-05, 245.0, 1.9073486328125e-05, 1454.0653061224489, 0.03, 11.982347965240479, 0, 0, 0.08546566963195801, 0.08546566963195801, 1454, 18, 0.05, 0, 6, 0.03, 18.0, 66.0, 0.07, 356246, 0, 263.0, 0.04, 0, 1188, 0, 245, 1458, 263, 0.51, 1.2999300956726074, 66, 0, 0.0, 66: 4: 1674496523.2, 1674496524.2: 0: 0: 0: 0: 0: 0: 0.47536688641585145: 0.1748777045275551: 0.1748777045275551: 0.17487770452903828
127.0.0.1/9020-127.0.0.2/9784: 10.661850929260254, 0.02, 0.08363938331604004, 459, 6588, 0.042031288146972656, 1.7881393432617188e-05, 244.0, 1.7881393432617188e-05, 1454.0655737704917, 0.03, 11.97648572921753, 0, 0, 0.08544659614562988, 0.08544659614562988, 1454, 17, 0.05, 0, 6, 0.03, 17.0, 66.0, 0.08, 354792, 0, 261.0, 0.04, 0, 1122, 0, 244, 1458, 261, 0.51, 1.294717788696289, 66, 0, 0.0, 66: 5: 1674496523.2, 1674496524.2: 0: 0: 0: 0: 0: 0: 0.4753668864159104: 0.1748777045275458: 0.1748777045275458: 0.17487770452899803
127.0.0.1/9020-127.0.0.2/9784: 21.725489616394043, 0.02, 0.08623218536376953, 513, 8883, 0.04134368896484375, 1.9550323486328125e-05, 329.0, 1.9550323486328125e-05, 1446.4802431610942, 0.05, 23.425098419189453, 0, 0, 0.12954282760620117, 0.12954282760620117, 209, 19, 0.07, 0, 6, 0.05, 19.0, 66.0, 0.05, 475892, 0, 348.0, 0.07, 0, 1254, 0, 329, 1458, 348, 96.78, 0.8790938854217529, 66, 2, 0.0, 66: 6: 1674496523.3, 1674496524.3: 0: 0: 0: 0: 0: 0: 0.4753663914644948: 0.17487784640210632: 0.17487778275625762: 0.1748779793771413
127.0.0.1/9020-127.0.0.2/9784: 21.719077110290527, 0.02, 0.04488849639892578, 486, 8856, 1.7642974853515625e-05, 1.8596649169921875e-05, 328.0, 1.8596649169921875e-05, 1446.4573170731708, 0.05, 23.37514901161194, 0, 0, 0.12952327728271484, 0.12952327728271484, 209, 18, 0.07, 0, 6, 0.05, 18.0, 66.0, 0.01, 474438, 0, 346.0, 0.07, 0, 1188, 0, 328, 1458, 346, 96.93, 0.13490748405456543, 66, 2, 0.0, 66: 7: 1674496523.3, 1674496524.3: 0: 0: 0: 0: 0: 0: 0.4753662755712817: 0.17487787996905915: 0.17487780107031456: 0.17487804338934468
127.0.0.1/9020-127.0.0.2/9784: 30.389413833618164, 0.06, 0.12320733070373535, 810, 9963, 1.5735626220703125e-05, 1.7404556274414062e-05, 369.0, 1.7404556274414062e-05, 1411.4742547425474, 0.06, 34.6507842540741, 0, 0, 0.2074582576751709, 0.20771551132202148, 96, 30, 0.09, 0, 6, 0.06, 30.0, 66.0, 0.06, 520834, 0, 399.0, 0.08, 0, 1980, 0, 369, 1458, 399, 231.06, 1.7261250019073486, 66, 15, 0.0, 66: 8: 1674496523.3, 1674496524.3: 0: 0: 0: 0: 0: 0: 0.47536683888068326: 0.1748777210411873: 0.1748777125994656: 0.17487772747866379
127.0.0.3/80-127.0.0.4/3167: 0.0420224666595459, -1, -1, 0, 1377, 99999, 6.508827209472656e-05, 51.0, 6.508827209472656e-05, 1417.5294117647059, 0.0, 0.0420224666595459, 0, 0, 0.0013616085052490234, 0.0013616085052490234, 66, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 72294, 0, 51.0, 0.0, 0, 0, 0, 51, 1514, 51, 251.98, 0, -1, 8, -1, -1: 9: 1674496523.3, 1674496524.3: 0: 0: 0: 0: 0: 0: 0.4753664602123108: 0.17487777188048836: 0.17487777188048834: 0.1748779960267124
127.0.0.8/5752-127.0.0.1/23: 0, -1, -1, 0, 24, 99999, 99999, 1.0, 99999, 54.0, 0.0, 0, 0, 0, -1, -1, 54, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 54, 0, 1.0, 0.0, 0, 0, 0, 1, 54, 1, 0.0, 0, -1, 0, -1, -1: 10: 1674496523.3, 1674496524.3: 0: 1: 0: 0: 0: 0: 0.16989770883986224: 0.2013776135174742: 0.4592520155381222: 0.16947266210454123
127.0.0.8/5753-127.0.0.1/23: 0, -1, -1, 0, 24, 99999, 99999, 1.0, 99999, 54.0, 0.0, 0, 0, 0, -1, -1, 54, 0, 0.0, 0, 6, 0.0, 0.0, 0, -1, 54, 0, 1.0, 0.0, 0, 0, 0, 1, 54, 1, 0.0, 0, -1, 0, -1, -1: 11: 1674496523.3, 1674496524.3: 0: 1: 0: 0: 0: 0: 0.16989770883986224: 0.2013776135174742: 0.4592520155381222: 0.16947266210454123
127.0.0.1/9020-127.0.0.2/9784: 30.38300895690918, 0.06, 0.12319159507751465, 783, 9936, 1.5974044799804688e-05, 2.0742416381835938e-05, 368.0, 2.0742416381835938e-05, 1411.358695652174, 0.06, 34.55936646461487, 0, 0, 0.20744085311889648, 0.20769810676574707, 96, 29, 0.09, 0, 6, 0.06, 29.0, 66.0, 0.06, 519380, 0, 397.0, 0.08, 0, 1914, 0, 368, 1458, 397, 231.37, 1.7256686687469482, 66, 15, 0.0, 66: 12: 1674496523.4, 1674496524.4: 0: 0: 0: 0: 0: 0: 0.475366835383256: 0.17487772244119773: 0.17487771315126702: 0.17487772902427928
