flow_info: forward_iat_std, flow_iat_total, flow_rst, forward_iat_max, flow_packets_per_second, forward_packet_length_mean, backward_packet_length_std, flow_ece, flow_iat_mean, backward_packet_length_mean, forward_packet_length_min, forward_iat_total, backward_packet_length_min, backward_iat_mean, flow_cwr, flow_iat_min, flow_iat_max, total_length_of_backward_packets, forward_packet_length_std, total_backward_packets, backward_iat_total, total_length_of_forward_packets, bpkts_per_second, backward_iat_std, forward_packet_length_max, fpkts_per_second, total_fhlen, forward_iat_mean, flow_urg, flow_ack, forward_iat_min, flow_iat_std, total_forward_packets, flow_syn, total_bhlen, flow_fin, backward_packet_length_max, backward_iat_max, backward_iat_min, flow_protocol: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0.0, 0.11119294166564941, 0, 0.00212860107421875, 88.0, 1454.0, 0.0, 0, 0.0, 66.0, 1454, 0.10442352294921875, 66, 0.0, 0, 3.123283386230469e-05, 0.00212860107421875, 330, 0.0, 5, 0.0023872852325439453, 120682, 5.0, 0.0, 1454, 83.0, 135, 0.0, 0, 88, 3.123283386230469e-05, 0.0, 83, 0, 2241, 0, 66, 0.0008339881896972656, 0.0005004405975341797, 6: 1: 1674440252.4, 1674440253.4: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.0, 0.10763049125671387, 0, 0.0020973682403564453, 86.0, 1454.0, 0.0, 0, 0.0, 66.0, 1454, 0.10186243057250977, 66, 0.0, 0, 5.412101745605469e-05, 0.0020973682403564453, 264, 0.0, 4, 0.00038552284240722656, 119228, 4.0, 0.0, 1454, 82.0, 108, 0.0, 0, 86, 5.412101745605469e-05, 0.0, 82, 0, 2214, 0, 66, 0.00033354759216308594, 1.7881393432617188e-05, 6: 2: 1674440252.4, 1674440253.4: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.02, 3.8022115230560303, 0, 0.045316457748413086, 167.0, 1454.0981595092026, 0.0, 0, 0.02, 66.0, 1454, 3.753765344619751, 66, 0.01, 0, 1.9550323486328125e-05, 0.045316457748413086, 264, 0.62, 4, 0.04320859909057617, 237018, 4.0, 0.02, 1458, 163.0, 108, 0.02, 0, 167, 1.9550323486328125e-05, 0.02, 163, 0, 4401, 0, 66, 0.0428767204284668, 1.621246337890625e-05, 6: 3: 1674440252.4, 1674440253.4: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.02, 3.7976763248443604, 0, 0.04529690742492676, 165.0, 1454.0987654320988, 0.0, 0, 0.02, 66.0, 1454, 3.750598192214966, 66, 0.01, 0, 4.792213439941406e-05, 0.04529690742492676, 198, 0.62, 3, 0.04315996170043945, 235564, 3.0, 0.02, 1458, 162.0, 81, 0.02, 0, 165, 4.792213439941406e-05, 0.02, 162, 0, 4374, 0, 66, 0.04286050796508789, 0.0002994537353515625, 6: 4: 1674440252.4, 1674440253.4: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.03, 12.069077491760254, 0, 0.08532428741455078, 261.0, 1454.0655737704917, 0.0, 0, 0.05, 66.0, 1454, 10.754741668701172, 66, 0.08, 0, 0.00011539459228515625, 0.08532428741455078, 1122, 0.51, 17, 1.2878568172454834, 354792, 17.0, 0.02, 1458, 244.0, 459, 0.04, 0, 261, 0.00011539459228515625, 0.03, 244, 0, 6588, 0, 66, 0.0831456184387207, 0.04256105422973633, 6: 5: 1674440252.4, 1674440253.4: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.03, 12.037632703781128, 0, 0.08520889282226562, 259.0, 1454.0658436213992, 0.0, 0, 0.05, 66.0, 1454, 10.726700782775879, 66, 0.04, 0, 4.1484832763671875e-05, 0.08520889282226562, 1056, 0.51, 16, 0.6068799495697021, 353338, 16.0, 0.01, 1458, 243.0, 432, 0.04, 0, 259, 4.1484832763671875e-05, 0.03, 243, 0, 6561, 0, 66, 0.040584564208984375, 0.04032444953918457, 6: 6: 1674440252.5, 1674440253.5: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.05, 23.844170570373535, 0, 0.1418166160583496, 346.0, 1446.4573170731708, 0.0, 0, 0.07, 66.0, 209, 22.179883241653442, 66, 0.01, 0, 3.743171691894531e-05, 0.1418166160583496, 1188, 96.93, 18, 0.14713549613952637, 474438, 18.0, 0.02, 1458, 328.0, 486, 0.07, 0, 346, 3.743171691894531e-05, 0.05, 328, 0, 8856, 0, 66, 0.05740666389465332, 1.6689300537109375e-05, 6: 7: 1674440252.5, 1674440253.5: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.05, 23.747007846832275, 0, 0.14177918434143066, 344.0, 1446.434250764526, 0.0, 0, 0.07, 66.0, 209, 22.167643070220947, 66, 0.01, 0, 2.288818359375e-05, 0.14177918434143066, 1122, 97.07, 17, 0.1468517780303955, 472984, 17.0, 0.02, 1458, 327.0, 459, 0.07, 0, 344, 2.288818359375e-05, 0.05, 327, 0, 8829, 0, 66, 0.05738997459411621, 1.621246337890625e-05, 6: 8: 1674440252.5, 1674440253.5: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.1/9020-127.0.0.2/9784: 0.06, 34.99965715408325, 0, 0.2070598602294922, 397.0, 1411.358695652174, 0.0, 0, 0.09, 66.0, 96, 30.819997549057007, 66, 0.06, 0, 0.0001010894775390625, 0.20732927322387695, 1914, 231.37, 29, 1.736154556274414, 519380, 29.0, 0.06, 1458, 368.0, 783, 0.08, 0, 397, 0.0001010894775390625, 0.07, 368, 0, 9936, 0, 66, 0.12307047843933105, 1.52587890625e-05, 6: 9: 1674440252.5, 1674440253.5: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.3/80-127.0.0.4/3167: 0.0, 0.04315447807312012, 0, 0.0014257431030273438, 51.0, 1417.5294117647059, -1, 0, 0.0, 0, 66, 0.04315447807312012, -1, -1, 0, 6.961822509765625e-05, 0.0014257431030273438, 0, 251.98, 0, 0, 72294, 0.0, -1, 1514, 51.0, 0, 0.0, 0, 51, 6.961822509765625e-05, 0.0, 51, 0, 1377, 0, -1, -1, 99999, 6: 10: 1674440252.5, 1674440253.5: 0: 0: 0: 0: 0: 0: 0: 0: 0: 0
127.0.0.8/5752-127.0.0.1/23: 0.0, 0, 0, -1, 1.0, 54.0, -1, 0, 0.0, 0, 54, 0, -1, -1, 0, 99999, -1, 0, 0.0, 0, 0, 54, 0.0, -1, 54, 1.0, 0, 0.0, 0, 1, 99999, 0.0, 1, 0, 24, 0, -1, -1, 99999, 6: 11: 1674440252.5, 1674440253.5: 0: 1: 0: 0: 0: 0: 0: 0: 0: 0
